      EF                  x                  y                  z                J0_x               J0_y               J0_z               J1_x               J1_y               J1_z               J2_x               J2_y               J2_z      
      12.102000        1423.393469       -1430.463812        4784.288210           0.030964          -0.031095          -2.061319          -0.439975           0.438033           8.296785        1423.802480       -1430.870749        4778.052744
      12.103000        1423.437365       -1430.378538        4819.129922           0.030740          -0.030871          -2.063903          -0.447301           0.445378           8.297501        1423.853926       -1430.793045        4812.896323
      12.104000        1423.036215       -1429.845376        4854.199110           0.030515          -0.030646          -2.066474          -0.454513           0.452610           8.297920        1423.460213       -1430.267340        4847.967664
      12.105000        1422.189958       -1428.864264        4889.496012           0.030290          -0.030420          -2.069033          -0.461611           0.459728           8.298042        1422.621278       -1429.293572        4883.267002
      12.106000        1420.898541       -1427.435152        4925.021826           0.030064          -0.030194          -2.071579          -0.468595           0.466733           8.297871        1421.337072       -1427.871692        4918.795534
      12.107000        1419.162130       -1425.558208        4960.776109           0.029838          -0.029967          -2.074112          -0.475463           0.473623           8.297406        1419.607755       -1426.001864        4954.552815
      12.108000        1416.981168       -1423.233878        4996.759436           0.029611          -0.029739          -2.076632          -0.482215           0.480397           8.296650        1417.433772       -1423.684536        4990.539418
      12.109000        1414.356411       -1420.462927        5032.972874           0.029383          -0.029511          -2.079137          -0.488847           0.487052           8.295611        1414.815875       -1420.920468        5026.756400
      12.110000        1411.288186       -1417.245679        5069.433504           0.029154          -0.029281          -2.081624          -0.495348           0.493576           8.294378        1411.754380       -1417.709973        5063.220750
      12.111000        1407.750290       -1413.555906        5106.321471           0.028929          -0.029056          -2.084084          -0.501725           0.499977           8.293413        1408.223086       -1414.026827        5100.112142
      12.112000        1403.722632       -1409.372978        5143.709469           0.028704          -0.028830          -2.086519          -0.507943           0.506219           8.292952        1404.201871       -1409.850367        5137.503036
      12.113000        1399.205620       -1404.698147        5181.593648           0.028479          -0.028605          -2.088934          -0.514019           0.512320           8.292925        1399.691160       -1405.181863        5175.389657
      12.114000        1394.211740       -1399.543625        5219.958433           0.028260          -0.028385          -2.091325          -0.519994           0.518320           8.293225        1394.703474       -1400.033560        5213.756533
      12.115000        1388.742404       -1393.910769        5258.792741           0.028046          -0.028171          -2.093692          -0.525866           0.524218           8.293851        1389.240224       -1394.406816        5252.592582
      12.116000        1382.696011       -1387.698266        5297.931562           0.027848          -0.027972          -2.096044          -0.531505           0.529883           8.293979        1383.199667       -1388.200178        5291.733628
      12.117000        1376.052870       -1380.886106        5337.199131           0.027667          -0.027790          -2.098386          -0.536848           0.535254           8.292982        1376.562052       -1381.393570        5331.004535
      12.118000        1368.991793       -1373.653262        5376.433547           0.027483          -0.027606          -2.100637          -0.541792           0.540226           8.291641        1369.506102       -1374.165882        5370.242543
      12.119000        1361.489115       -1365.976057        5415.858588           0.027302          -0.027424          -2.102865          -0.546599           0.545060           8.290145        1362.008412       -1366.493693        5409.671308
      12.120000        1353.546414       -1357.856089        5455.479427           0.027123          -0.027244          -2.105074          -0.551272           0.549762           8.288497        1354.070564       -1358.378607        5449.296003
      12.121000        1345.170340       -1349.300010        5495.300278           0.026944          -0.027064          -2.107263          -0.555813           0.554332           8.286698        1345.699210       -1349.827278        5489.120842
      12.122000        1336.432600       -1340.379574        5535.364472           0.026763          -0.026883          -2.109435          -0.560239           0.558788           8.284752        1336.966077       -1340.911478        5529.189156
      12.123000        1327.862301       -1331.622816        5576.012757           0.026570          -0.026689          -2.111596          -0.564768           0.563346           8.282690        1328.400500       -1332.159473        5569.841663
      12.124000        1319.516978       -1323.088090        5617.279273           0.026362          -0.026482          -2.113744          -0.569433           0.568041           8.280515        1320.060048       -1323.629649        5611.112501
